|text|score
91|humorous and heartfelt  douglas mcgraths version of nicholas nickleby left me feeling refreshed and hopeful  not many movies have that kind of impact on me these days|1.0
92|makes an aborbing if arguable case for the mans greatness|1.0
93|maelstrom is strange and compelling  engrossing and different  a moral tale with a twisted sense of humor|1.0
94|i found myself liking the film  though in this case one mans treasure could prove to be another mans garbage|1.0
95|takes a simple premise and carries it to unexpected heights|1.0
96|one of the pleasures in walters documentary    is the parade of veteran painters  confounded dealers  and miscellaneous bohos who expound upon the subjects mysterious personality without ever explaining him|1.0
97|chao was chen kaiges assistant for years in china  he has not learnt that storytelling is what the movies are about|0.0
98|the movie ultimately relies a bit too heavily on grandstanding  emotional  rockylike moments    but its such a warm and charming package that youll feel too happy to argue much|1.0
99|what denis accomplishes in his chilling  unnerving film is a double portrait of two young women whose lives were as claustrophic  suffocating and chilly as the attics to which they were inevitably consigned|1.0
100|boasts a handful of virtuosic set pieces and offers a fair amount of trashy  kinky fun|1.0
101|takes a fresh and absorbing look at a figure whose legacy had begun to bronze|1.0
102|a sexy  peculiar and always entertaining costume drama set in renaissance spain  and the fact that its based on true events somehow makes it all the more compelling|1.0
103|although it lacks the detail of the book  the film does pack some serious suspense|1.0
104|no matter how you slice it  mark wahlberg and thandie newton are not hepburn and grant  two cinematic icons with chemistry galore|0.0
105|fast and funny  an action cartoon thats suspenseful enough for older kids but not too scary for the schoolage crowd|1.0
106|if youre burnt out on its a wonderful life marathons and bored with a christmas carol  it might just be the movie youre looking for  it depends on how well flatulence gags fit into your holiday concept|1.0
107|a delightful comingofage story|1.0
108|its not original enough|0.0
109|pocas ideas interesantes  un final pseudo mstico que no corresponde al tono general del filme y que deja una sensacin de inconformidad que hace pensar ms de una vez si vale la pena ir a la taquilla y reclamar el precio del boleto|0.0
110|a derivative collection of horror and scifi cliches|0.0
111|a rarity among recent iranian films  its a comedy full of gentle humor that chides the absurdity of its protagonists plight|1.0
112|the movie is a trove of delights|1.0
113|a movie of riveting power and sadness|1.0
114|ive heard that the fans of the first men in black have come away hating the second one  i wonder why  they felt like the same movie to me|0.0
115|a incompetncia de marcus adams como roteirista s  superada por sua pssima direo|0.0
116|its better than the phantom menace  but unless youre an absolute raving star wars junkie  it isnt much fun|0.0
117|if this is the resurrection of the halloween franchise  it would have been better off dead|0.0
118|cloaks a familiar antifeminist equation  career  kids  misery  in tiresome romanticcomedy duds|0.0
119|it recycles every clich about gays in what is essentially an extended soap opera|0.0
120|godards ode to tackling lifes wonderment is a rambling and incoherent manifesto about the vagueness of topical excess    in praise of love remains a ponderous and pretentious endeavor thats unfocused and tediously exasperating|0.0
121|bright  intelligent  and humanly funny film|1.0
122|too much of this wellacted but dangerously slow thriller feels like a preamble to a bigger  more complicated story  one that never materializes|0.0
123|the obnoxious special effects  the obligatory outbursts of flatulence and the incessant  sofiveminutesago pop music on the soundtrack overwhelm what is left of the scruffy  dopey old hannabarbera charm|0.0
124|the new film of anton chekhovs the cherry orchard puts the ick in classic|0.0
125|a gracious  eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost|1.0
126|purports to be a hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging  oh  and more entertaining  too|0.0
127|an awkward and indigestible movie|0.0
128|bogdanich is unashamedly proserbian and makes little attempt to give voice to the other side|0.0
129|go  girls  right down the reality drain|0.0
130|predecessors the mummy and the mummy returns stand as intellectual masterpieces next to the scorpion king|0.0
131|an oldfashioned scary movie  one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts|1.0
132|the way coppola professes his love for movies  both colorful pop junk and the classics that unequivocally qualify as art  is giddily entertaining|1.0
133|no surprises|0.0
134|gets bogged down by an overly sillified plot and stopandstart pacing|0.0
135|a crass and insulting homage to great films like some like it hot and the john wayne classics|0.0
136|this one is not nearly as dreadful as expected  in fact  its quite fun in places|1.0
137|the film doesnt show enough of the creative process or even of what was created for the nonfan to figure out what makes wilco a big deal|0.0
138|not too far below the gloss you can still feel director denis villeneuves beating heart and the fondness he has for his characters|1.0
139|sayles    once again strands his superb performers in the same old story|0.0
140|neil burger here succeeded in    making the mystery of four decades back the springboard for a more immediate mystery in the present|1.0
141|your taste for jonah  a veggie tales movie may well depend on your threshold for pop manifestations of the holy spirit|0.0
142|an ideal love story for those intolerant of the more common saccharine genre|1.0
143|its mildly amusing  but i certainly cant recommend it|0.0
144|while its careful pace and seemingly opaque story may not satisfy every moviegoers appetite  the films final scene is soaringly  transparently moving|1.0
145|without resorting to camp or parody  haynes  like sirk  but differently  has transformed the rhetoric of hollywood melodrama into something provocative  rich  and strange|1.0
146|the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure|1.0
147|director chris eyre is going through the paces again with his usual high melodramatic style of filmmaking|0.0
148|a sequel thats much too big for its britches|0.0
149|a stunning and overwhelmingly cogent case for kissinger as a calculating war criminal|1.0
150|suffers from its timid parsing of the barnside target of sons trying to breach gaps in their relationships with their fathers|1.0
151|a sour little movie at its core  an exploration of the emptiness that underlay the relentless gaiety of the 1920s    the films ending has a  what was it all for   feeling to it  but like the 1920s  the trip there is a great deal of fun|1.0
152|sorvino is delightful in the central role  she nearly glows with enthusiasm  sensuality and a conniving wit|1.0
153|its one of the most honest films ever made about hollywood|1.0
154|sean penn  you owe nicolas cage an apology|1.0
155|in the end  the film is less the cheap thriller youd expect than it is a fairly revealing study of its two main characters  damagedgoods people whose orbits will inevitably and dangerously collide|1.0
156|when the film ended  i felt tired and drained and wanted to lie on my own deathbed for a while|0.0
157|the characters  cast in impossibly contrived situations  are totally estranged from reality|0.0
158|vaguely interesting  but its just too too much|0.0
159|that itll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture|1.0
160|not so much funny as aggressively sitcomcute  its full of throwaway oneliners  notquite jokes  and a determined tv amiability that allen personifies|0.0
161|the whole things fairly lame  making it par for the course for disney sequels|0.0
162|polished  wellstructured film|1.0
163|one welltimed explosion in a movie can be a knockout  but a hundred of them can be numbing  proof of this is ballistic  ecks vs  sever|0.0
164|earsplitting exercise in formula crashandbash action|0.0
165|there are weird resonances between actor and role here  and theyre not exactly flattering|0.0
166|while its nothing we havent seen before from murphy  i spy is still fun and enjoyable and so aggressively silly that its more than a worthwhile effort|1.0
167|a workshop mentality prevails|0.0
168|im sure if youre a hartley fan  you might enjoy yourself    me  i didnt care for it|0.0
169|absurdities and clichs accumulate like lint in a fat mans navel|0.0
170|nicks sustains the level of exaggerated  stylized humor throughout by taking your expectations and twisting them just a bit|1.0
171|a bit of an unwieldy mess|0.0
172|could have been crisper and punchier  but its likely to please audiences who like movies that demand four hankies|1.0
173|viewers of  the ring  are more likely to remember the haunting images than the plot holes|1.0
174|a complete waste of time|0.0
175|coppola has made a film of intoxicating atmosphere and little else|0.0
176|diane lanes sophisticated performance cant rescue adrian lynes unfaithful from its sleazy moralizing|0.0
177|the strength of the film comes not from any cinematic razzledazzle but from its recovery of an historical episode that  in the simple telling  proves simultaneously harrowing and uplifting|1.0
178|lazy  miserable and smug  this is one of the biggest disappointments of the year|0.0
179|scotland  pa  is a strangely drab romp  some studio pizazz might have helped|0.0
180|the talented and clever robert rodriguez perhaps put a little too much heart into his first film and didnt reserve enough for his second|0.0
181|consists of a plot and jokes done too often by people far more talented than ali g|0.0
182|a darkaspitch comedy that frequently veers into corny sentimentality  probably would not improve much after a therapeutic zap of shock treatment|0.0
183|a compelling  moving film that respects its audience and its source material|1.0
184|smart  provocative and blisteringly funny|1.0
185|whatever satire lucky break was aiming for  it certainly got lost in the  soontobeforgettable  section of the quirky ripoff prison romp pile  its petty thievery like this that puts flimsy flicks like this behind bars|0.0
186|one of those rare  exhilarating cinematic delights that gets even better in hindsight  as you mull over its every nuance in your mind|1.0
187|what could and should have been biting and droll is instead a tepid waste of time and talent|0.0
188|a film that suffers because of its many excesses|0.0
189|conceptually brilliant    plays like a livingroom war of the worlds  gaining most of its unsettling force from the suggested and the unknown|1.0
190|apesar de seus graves problemas  o filme consegue entreter|1.0
191|with the gifted pearce on hand to keep things on semistable ground dramatically  this retooled machine is ultimately effective enough at achieving the modest  crowdpleasing goals it sets for itself|1.0
192|foster and whitaker are especially fine  she is a lioness  protecting her cub  and he a reluctant villain  incapable of controlling his crew|1.0
193|a singularly offputting romantic comedy|0.0
194|quitting offers piercing domestic drama with spikes of sly humor|1.0
195|a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when its approached with imagination and flair|1.0
196|the movie is concocted and carried out by folks worthy of scorn  and the nicest thing i can say is that i cant remember a single name responsible for it|0.0
197|with spy kids 2  the island of lost dreams writerdirectorproducer robert rodriguez has cobbled together a film that feels like a sugar high gone awry|0.0
198|rates an e for effort  and a b for boring|0.0
199|lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a childs interest and an adults patience  but it also has many of the things that made the first one charming|1.0
200|an intermittently pleasing but mostly routine effort|0.0
201|youre too conscious of the effort it takes to be this spontaneous|0.0
202|where tom green stages his gags as assaults on americas kneejerk moral sanctimony  jackass lacks aspirations of social upheaval|0.0
203|this is a movie that starts out like heathers  then becomes bring it on  then becomes unwatchable|0.0
204|a generic family comedy unlikely to be appreciated by anyone outside the under10 set|0.0
205|disney again ransacks its archives for a quickbuck sequel|0.0
206|for all its serious sense of purpose    it finds a way to lay bare the tragedies of its setting with a good deal of warmth and humor|1.0
207|its dumb  but more importantly  its just not scary|0.0
208|all of the filmmakers calculations cant rescue brown sugar from the curse of blandness|0.0
209|two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy|1.0
210|hey  who else needs a shower|1.0
211|the uneven movie does have its charms and its funny moments but not quite enough of them|0.0
212|nothing more than a stifling morality tale dressed up in peekaboo clothing|0.0
213|screenwriters scott abbott and michael petroni have turned rices complex akasha into a cartoon monster|0.0
214|on the bright side  it contains jesse venturas best work since the xfl|0.0
215|includes too much obvious padding|0.0
216|really horrible drek|0.0
217|a listless scifi comedy in which eddie murphy deploys two guises and elaborate futuristic sets to no particularly memorable effect|0.0
218|one long string of cliches|0.0
219|too bad writerdirector adam rifkin situates it all in a plot as musty as one of the golden eagles carpets|0.0
220|its the movie equivalent of a sweaty old guy in a rain coat shopping for cheap porn|0.0
221|its impossible to indulge the fanciful daydreams of janice beard  eileen walsh  when her reallife persona is so charmless and vacant|0.0
222|the chteau would have been benefited from a sharper  cleaner script before it went in front of the camera  not to mention a sharper  cleaner camera lens|0.0
223|an extraordinary dramatic experience|1.0
224|sensitively examines general issues of race and justice among the poor  and specifically raises serious questions about the death penalty and asks what good the execution of a mentally challenged woman could possibly do|1.0
225|an indispensable peek at the art and the agony of making people laugh|1.0
226|the result is more depressing than liberating  but its never boring|1.0
227|as wellacted and wellintentioned as all or nothing is  however  the film comes perilously close to being too bleak  too pessimistic and too unflinching for its own good|1.0
228|very amusing  not the usual route in a thriller  and the performances are odd and pixilated and sometimes both|1.0
229|almost peerlessly unsettling|1.0
230|a shambles of a movievisually unattractive  unbearably loud and utterly silly    its hilarity is completely unintentional|0.0
231|though it flirts with bathos and pathos and the further oprahfication of the world as we know it  it still cuts all the way down to broken bone|1.0
232|this idea has lost its originality    and neither star appears very excited at rehashing what was basically a onejoke picture|0.0
233|this documentary is a dazzling  remarkably unpretentious reminder of what evans had  lost  and got back|1.0
234|an inconsequential  barely there bit of piffle|0.0
235|despite its visual virtuosity  naqoyqatsi is banal in its message and the choice of material to convey it|0.0
236|laggard drama wending its way to an uninspired philosophical epiphany|0.0
237|when the screenwriter responsible for one of the worst movies of one year directs an equally miserable film the following year  youd have a hard time believing it was just coincidence|0.0
238|oversexed  at times overwrought comedydrama that offers little insight into the experience of being forty  female and single|0.0
239|biggie and tupac is so singlemindedly daring  it puts far more polished documentaries to shame|1.0
240|only two words will tell you what you know when deciding to see it  anthony  hopkins|1.0
241|an animation landmark as monumental as disneys 1937 breakthrough snow white and the seven dwarfs|1.0
242|director andrew niccol    demonstrates a wry understanding of the quirks of fame  his healthy sense of satire is light and fun|1.0
243|its another video movie photographed like a film  with the bad lighting thats often written off as indie film naturalism|0.0
244|meyjes provocative film might be called an example of the haphazardness of evil|1.0
245|the hook is the drama within the drama  as an unsolved murder and an unresolved moral conflict jockey for the spotlight|1.0
246|jaeeun jeongs take care of my cat brings a beguiling freshness to a comingofage story with such a buoyant  expressive flow of images that it emerges as another key contribution to the flowering of the south korean cinema|1.0
247|a quietly introspective portrait of the selfesteem of employment and the shame of losing a job|1.0
248|it doesnt do the original any particular dishonor  but neither does it exude any charm or personality|0.0
249|a    cynical and serious look at teenage boys doing what they do best  being teenagers|1.0
250|enduring love but exhausting cinema|0.0
251|the film feels uncomfortably real  its language and locations bearing the unmistakable stamp of authority|1.0
252|plays like a glossy melodrama that occasionally verges on camp|0.0
253|a documentary to make the stones weep  as shameful as it is scary|1.0
254|its a pedestrian  flat drama that screams out amateur in almost every frame|0.0
255|what was subtle and mystifying in the novella is now broad and farcical|0.0
256|ozpeteks effort has the scope and shape of an especially wellexecuted television movie|1.0
257|see clockstoppers if you have nothing better to do with 94 minutes  but be warned  you too may feel time has decided to stand still  or that the battery on your watch has died|0.0
258|pleasant but not more than recycled jock piffle|0.0
259|the holes in this film remain agape  holes punched through by an inconsistent  meandering  and sometimes dry plot|0.0
260|wonderful fencing scenes and an exciting plot make this an eminently engrossing film|1.0
261|this movie feel more like a nonstop cry for attention  than an attempt at any kind of satisfying entertainment|0.0
262|scott delivers a terrific performance in this fascinating portrait of a modern lothario|1.0
263|the script falls back on too many triedandtrue shenanigans that hardly distinguish it from the next teen comedy|0.0
264|although purportedly a study in modern alienation  its really little more than a particularly slanted  gay sm fantasy  enervating and deadeningly drawnout|0.0
265|the films 45minute running time stops shy of overkill  though viewers may be more exhausted than the athletes onscreen|1.0
266|the sheer joy and pride they took in their work  and in each other  shines through every frame|1.0
267|this is a harrowing movie about how parents know where all the buttons are  and how to push them|1.0
268|this remake gets all there is to get out of a peculiar premise with promise  al pacino loathing robin williams|1.0
269|o timo esforo do diretor acaba sendo frustrado pelo roteiro  que  depois de levar um bom tempo para colocar a trama em andamento  perdese de vez a partir do instante em que os estranhos acontecimentos so explicados|0.0
270|a thriller with an edge  which is to say that it doesnt follow the stale  standard  connectthedots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world|1.0
271|an ambitious what if   that works|1.0
272|although hupperts intensity and focus has a raw exhilaration about it  the piano teacher is anything but fun|0.0
273|the film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet|1.0
274|due to some script weaknesses and the casting of the directors brother  the film trails off into inconsequentiality|0.0
275|you wont like roger  but you will quickly recognize him  and thats a big part of why we go to the movies|1.0
276|allens funniest and most likeable movie in years|1.0
277|there are so few films about the plight of american indians in modern america that skins comes as a welcome  if downbeat  missive from a forgotten front|1.0
278|the sight of the spaceship on the launching pad is duly impressive in imax dimensions  as are shots of the astronauts floating in their cabins|1.0
279|it appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept|0.0
280|theres little to recommend snow dogs  unless one considers cliched dialogue and perverse escapism a source of high hilarity|0.0
281|a vile  incoherent mess    a scummy ripoff of david cronenbergs brilliant videodrome|0.0
282|a psychological thriller with a smart script and an obsessivecompulsives attention to detail|1.0
283|a working class  us vs  them  opera that leaves no heartstring untugged and no liberal cause unplundered|0.0
284|scherfig  who has had a successful career in tv  tackles more than she can handle|0.0
285|its neither as sappy as big daddy nor as anarchic as happy gilmore or the waterboy  but it has its moments|0.0
286|the ending feels at odds with the rest of the film|1.0
287|payne has created a beautiful canvas  and nicholson proves once again that hes the best brush in the business|1.0
288|morvern callar confirms lynne ramsay as an important  original talent in international cinema|1.0
289|plenty of warmth to go around  with music and laughter and the love of family|1.0
290|from a deceptively simple premise  this deeply moving french drama develops a startling story that works both as a detailed personal portrait and as a rather frightening examination of modern times|1.0
291|clockstoppers is one of those crazy  mixedup films that doesnt know what it wants to be when it grows up|0.0
292|i liked the original short story but this movie  even at an hour and twentysome minutes  its too long and it goes nowhere|0.0
293|the movie exists for its soccer action and its fine acting|1.0
294|it lacks the compassion  goodnatured humor and the level of insight that made eyres first film something of a sleeper success|0.0
295|a whole lot of fun and funny in the middle  though somewhat less hardhitting at the start and finish|1.0
296|a completely spooky piece of business that gets under your skin and  some plot blips aside  stays there for the duration|1.0
297|a quiet treasure  a film to be savored|1.0
298|not a film to rival to live  but a fine little amusebouche to keep your appetite whetted|1.0
299|shame on writerdirector vicente aranda for making a florid biopic about mad queens  obsessive relationships  and rampant adultery so dull|0.0
300|theres something poignant about an artist of 90plus years taking the effort to share his impressions of life and loss and time and art with us|1.0
301|a journey spanning nearly three decades of bittersweet camaraderie and history  in which we feel that we truly know what makes holly and marina tick  and our hearts go out to them as both continue to negotiate their imperfect  lovehate relationship|1.0
302|i like this movie a lot  i like that smith  hes not making fun of these people  hes not laughing at them|1.0
303|a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass|1.0
304|the screenplay flounders under the weight of too many story lines|0.0
305|there are plenty of scenes in frida that do work  but rarely do they involve the title character herself|0.0
306|a rather thinlyconceived movie|0.0
307|apart from anything else  this is one of the bestsustained ideas i have ever seen on the screen|1.0
308|old people will love this movie  and i mean that in the nicest possible way  last orders will touch the heart of anyone old enough to have earned a 50year friendship|1.0
309|the film is    determined to treat its characters  weak and strong  as fallible human beings  not caricatures  and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned with selfpreservation|1.0
310|i admire the closing scenes of the film  which seem to ask whether our civilization offers a cure for vincents complaint|1.0
311|the attraction between these two marginal characters is complex from the start  and  refreshingly  stays that way|1.0
312|its sweet  harmless  dumb  occasionally funny and about as compelling as a fishing show|0.0
313|if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera  this oscarnominated documentary takes you there|1.0
314|the first bond movie in ages that isnt fake fun|1.0
315|for a film about action  ultimate x is the gabbiest giantscreen movie ever  bogging down in a barrage of hype|0.0
316|more whiny downer than corruscating commentary|0.0
317|an affectionately goofy satire thats unafraid to throw elbows when necessary|1.0
318|a dreary  incoherent  selfindulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours    a cacophony of pretentious  meaningless prattle|0.0
319|browns saga  like many before his  makes for snappy prose but a stumblebum of a movie|0.0
320|a crisply made movie that is no more than mildly amusing|0.0
321|this is just lazy writing  even kids deserve better|0.0
322|by its modest  straightahead standards  undisputed scores a direct hit|1.0
323|the script isnt very good  not even someone as gifted as hoffman  the actor  can make it work|0.0
324|an incredibly clever and superbly paced caper filled with scams within scams within scams|1.0
325|whats next  rob schneider  dana carvey and sarah michelle gellar in the philadelphia story  david spade as citizen kane|0.0
326|simultaneously heartbreaking and very funny  the last kiss is really all about performances|1.0
327|uplifting as only a document of the worst possibilities of mankind can be  and among the best films of the year|1.0
328|a lackluster  unessential sequel to the classic disney adaptation of j  m  barries peter pan|0.0
329|a bittersweet drama about the limbo of grief and how truthtelling can open the door to liberation|1.0
330|there is no insight into the anguish of heidis life  only a depiction of pain  todays version of greek tragedy  the talkshow guest decrying her fate|0.0
331|a feelgood picture in the best sense of the term|1.0
332|the film is a confusing melange of tones and styles  one moment a romantic trifle and the next a turgid drama|0.0
333|a highly personal look at the effects of living a dysfunctionally privileged lifestyle  and by the end  we only wish we could have spent more time in its world|1.0
334|the problem with this film is that its forced to make its characters idiots in order to advance the plot  had anyone here done anything remotely intelligent  we all could have stopped watching long ago|0.0
335|with a tone as variable as the cinematography  schaeffers film never settles into the lightfooted enchantment the material needs  and the characters quirks and foibles never jell into charm|0.0
336|its a fine  focused piece of work that reopens an interesting controversy and never succumbs to sensationalism|1.0
337|all that  powerpuff girls  charm is present in the movie  but its spread too thin|0.0
338|with a confrontational stance  todd solondz takes aim on political correctness and suburban families|1.0
339|richard pryor mined his personal horrors and came up with a treasure chest of material  but lawrence gives us mostly fools gold|0.0
340|you see robert de niro singing  and dancing to  west side story show tunes  choose your reaction  a   that sure is funny  b   that sure is pathetic|0.0
341|as much as i laughed throughout the movie  i cannot mount a cogent defense of the film as entertainment  or even performance art  although the movie does leave you marveling at these guys superhuman capacity to withstand pain|0.0
342|a tender  heartfelt family drama|1.0
343|the film takes the materials of human tragedy and dresses them in lovely costumes  southern california locations and star power|0.0
344|a wellcrafted film that is all the more remarkable because it achieves its emotional power and moments of revelation with restraint and a delicate ambiguity|1.0
345|sex with strangers is fascinating|1.0
